track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability
0SzvXb3BAWgTHACbIXGNPa,Halik,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,0HYAcVSUVkfxzHKgHu6DqR,222680,2012,55,0.525,0.908,11,-3.33,1,0.0413,0.0139,0.0,0.253,0.628,126.041,5,0.9951727986335754,Rock,99.51727986335754%
6MWoRt97mnSTXZhu3ggi9C,hoax,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2fenSS68JI1h4Fo296JfGr,220042,2020-07-24,77,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,3,0.994938850402832,Acoustic,99.4938850402832%
6G61EqJgoEJhWaBT34jMyW,hoax,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0xS0iOtxQRoJvfcFcJA5Gv,220042,2020-07-24,54,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,3,0.994938850402832,Acoustic,99.4938850402832%
0gdYUlrMgRS9HfBX37EoVf,Take That Man,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,2hMoRRYEScUDseOvOfBWvs,240225,2018-12-28,30,0.53,0.833,4,-6.778,0,0.0344,0.000451,0.016,0.409,0.741,147.911,5,0.9948839545249939,Rock,99.48839545249939%
5RKb8NyPAqkr77LbcSOTLn,loving you is so easy,0Vw76uk7P8yVtTClWyOhac,HONNE,3DG5MS8iKYcJROCnb1DYDf,214106,2020-07-03,55,0.596,0.727,6,-9.717,1,0.0334,0.00181,0.0709,0.0881,0.973,153.943,5,0.994879961013794,Rock,99.4879961013794%
3OpGUlDmRUXh0NkIYWoIlD,Your Song,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,0kV35wyXIJKk04VRG0DdF4,168493,2003,68,0.636,0.159,11,-13.117,1,0.0549,0.892,0.0,0.112,0.658,119.766,3,0.9944540858268738,Acoustic,99.44540858268738%
4o4r7d1KcmnBtaPR7lugzV,Girls Like You - Acoustic,7HXBbxW6YwU8lvgBew2p2A,Matt Johnson,5z40AWCO5PRcdW7PgJykgG,174725,2018-06-11,27,0.535,0.104,6,-12.761,1,0.106,0.932,0.0,0.125,0.522,165.376,3,0.9941399097442627,Acoustic,99.41399097442627%
5WkCcSa78lM1Ym4LXzJUiN,La La Lost You - Acoustic Version,2kxP07DLgs4xlWz8YHlvfh,NIKI,00ikjZ4maHRaqxMI96NPQD,208510,2019-08-11,74,0.606,0.196,1,-11.652,1,0.0553,0.908,0.0,0.348,0.391,100.873,3,0.9937279224395752,Acoustic,99.37279224395752%
619pVMIK3WvX529JIkQTY3,Give Yourself A Try,3mIj9lX2MWuHmhNCA7LSCW,The 1975,69uAne8NTXxGzp8q811NQR,197671,2018-05-31,0,0.331,0.784,11,-5.002,1,0.0561,3.12e-05,0.0,0.427,0.902,182.964,5,0.9937155842781067,Rock,99.37155842781067%
6Qyc6fS4DsZjB2mRW9DsQs,Iris,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,4UMjBXcRqIgMZ1XumU2x5T,289533,1998-09-11,78,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,5,0.993449866771698,Rock,99.3449866771698%
7L8GQLm6e7cGoMMUAgWCVp,Huling Sayaw,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,0HYAcVSUVkfxzHKgHu6DqR,295413,2012,58,0.474,0.871,1,-4.013,0,0.0405,0.00125,0.0,0.202,0.545,137.102,5,0.9926528930664062,Rock,99.26528930664062%
